LicenseNo,LastUpdate,BusinessName,BUS-NAME-2,FullBusinessName,MailingAddress,City,State,County,ZIPCode,country,BusinessPhone,BusinessType,IssueDate,ReissueDate,ExpirationDate,InactivationDate,ReactivationDate,PendingSuspension,PendingClassRemoval,PendingClassReplace,PrimaryStatus,SecondaryStatus,Classifications(s),AsbestosReg,WorkersCompCoverageType,WCInsuranceCompany,WCPolicyNumber,WCEffectiveDate,WCExpirationDate,WCCancellationDate,WCSuspendDate,CBSuretyCompany,CBNumber,CBEffectiveDate,CBCancellationDate,CBAmount,WBSuretyCompany,WBNumber,WBEffectiveDate,WBCancellationDate,WBAmount,DBSuretyCompany,DBNumber,DBEffectiveDate,DBCancellationDate,DBAmount,DateRequired,DiscpCaseRegion,DBBondReason,DBCaseNo,NAME-TP-2
1000002,09/15/2025,DOCKERY RANDALL MARK,,RANDALL MARK DOCKERY,301 SOUTH MILLS AVENUE,LODI,CA,San Joaquin,95242,,(925) 383 0487,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C57,,Exempt,,, 01/31/2025,,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,PB10163403900,09/14/2025,,25000,,,,,,,,,,,,,,,
1000003,02/07/2025,JR MAYORGA WOODWORKING,,,2761 SATURN ST UNIT P,BREA,CA,Orange,92821,,(714) 931 3630,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C-6,,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY, 72WECBB2C5E, 11/11/2024, 11/11/2025,,,HUDSON INSURANCE COMPANY,30025855,01/01/2023,,25000,,,,,,,,,,,,,,,
1000004,04/10/2025,SOUTH COAST CONSTRUCTION AND DEVELOPMENT,,,6380 WILSHIRE BLVD # 1606,LOS ANGELES,CA,Los Angeles,90048,,(818) 266 7487,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B| HAZ,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9242239, 12/04/2018, 12/04/2024,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100264026,01/01/2023,,25000,,,,,,,,,,,,,,,
1000005,03/07/2025,DE SANTIAGO CONSTRUCTION,,,408 1/2 47TH STREET,SAN DIEGO,CA,San Diego,92102,,(619) 451 9302,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/22/2025,,,,NORTH RIVER INSURANCE COMPANY (THE),04CF615032,01/28/2023,,25000,,,,,,,,,,,,,,,
1000010,01/30/2025,CANNON MICHAEL ALLAN,,MICHAEL ALLAN CANNON,920 WOODSTOCK LANE,VENTURA,CA,Ventura,93001,,(805) 216 5564,Sole Owner,01/10/2015,,01/31/2027,,,,,,CLEAR,,C10,,License does not have current W/C,,, 01/27/2025,,,,NORTH RIVER INSURANCE COMPANY (THE),04CF641336,01/28/2025,,25000,,,,,,,,,,,,,,,
1000012,10/17/2025,INSTABUILT CONSTRUCTION INC,,,1799 N HILL AVE,PASADENA,CA,Los Angeles,91104,,(818) 631 3295,Corporation,01/10/2015,,01/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9288208, 11/20/2020, 11/20/2026,,,HUDSON INSURANCE COMPANY,30120177,07/25/2023,,25000,,,,,,,,,,,,,,,
1000013,09/05/2025,DESERT ELITE ELECTRIC & CONSTRUCTION INC,,,PO BOX 2513,PALM DESERT,CA,Riverside,92201,,(760) 565 1804,Corporation,01/10/2015,03/08/2018,03/31/2026,,,,,,CLEAR,,A| B| C10| C36,,Workers' Compensation Insurance,NATIONAL CASUALTY COMPANY, WCC336571A, 01/02/2025, 01/02/2026,,,MERCHANTS BONDING COMPANY (MUTUAL),101623346,08/17/2025,,25000,,,,,,,,,,,,,,,
1000014,02/13/2025,BLUE RIBBON POOL SERVICE INC,,,P O BOX 270543,SAN DIEGO,CA,San Diego,92198,,(760) 432 6169,Corporation,01/10/2015,,01/31/2027,,,,,,CLEAR,,D35,,Exempt,,, 02/10/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100265030,01/01/2023,,25000,,,,,,,,,,,,,,,
1000015,01/27/2025,NERELLI WELDING INC,,,215 24TH STREET,PASO ROBLES,CA,San Luis Obispo,93446,,(805) 434 7818,Corporation,01/10/2015,,01/31/2027,,,,,,CLEAR,,C51| C60,,"Leasing Firm, Temp Agency, etc",ACE AMERICAN INSURANCE COMPANY, C58875934, 02/01/2025, 02/01/2026,,,WESTERN SURETY COMPANY,64940297,01/01/2023,,25000,,,,,,,,,,,,,,,
1000016,04/18/2025,STEALTH LEAK SPECIALISTS INC,,,500 ANVILWOOD DRIVE,OAKLEY,CA,Contra Costa,94561,,(925) 342 2296,Corporation,01/10/2015,04/17/2025,04/30/2027,01/10/2015,04/17/2025,,,,CLEAR,,C36,,Exempt,,, 04/09/2025,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100949844,04/17/2025,,25000,,,,,,,,,,,,,,,
